Person.id|Organisation.id|workFrom
8796093022220|296|2009
8796093022220|298|2010
2199023255591|1093|2007
2199023255591|1095|2007
2199023255591|1047|2007
2199023255591|1083|2007
4398046511124|776|2008
4398046511105|496|2008
4398046511105|514|2007
4398046511105|293|2008
8796093022239|448|2003
8796093022239|459|2002
8796093022239|462|2002
8796093022222|593|2002
8796093022222|1011|2002
8796093022222|598|2004
8796093022222|605|2003
10995116277794|22|2007
10995116277794|31|2006
48|832|2010
48|842|2006
48|829|2008
6597069766681|624|2006
6597069766681|642|2006
6597069766681|630|2006
6597069766681|621|2007
6597069766681|622|2007
6|930|2005
6|936|2006
6|921|2006
6|923|2007
2199023255589|914|2009
2199023255589|915|2004
2199023255589|937|2005
8796093022235|980|2008
2199023255555|1056|2004
2199023255555|1075|2004
2199023255555|1034|2004
2199023255555|1070|2003
4398046511109|1139|2009
4398046511109|597|2009
4398046511109|814|2010
8796093022232|917|2008
8796093022232|919|2010
8796093022232|937|2004
8796093022232|938|1999
8796093022232|906|2004
2199023255574|671|2006
4398046511113|103|2005
6597069766672|971|2008
10995116277793|134|2003
10995116277793|8|2004
10995116277793|11|2002
6597069766692|549|2006
4398046511146|9|2010
4398046511146|11|2003
10995116277806|802|2009
10995116277806|781|2009
4398046511133|934|2006
4398046511133|911|2005
8796093022248|166|2007
8796093022248|156|2007
10995116277795|896|2011
10995116277795|897|2010
10995116277795|364|2011
10995116277795|895|2010
2199023255565|1331|2009
2199023255565|1348|2009
2199023255565|1326|2006
6597069766674|1153|2002
6597069766674|1166|2002
6597069766674|1151|2003
4398046511123|1569|2008
4398046511123|1573|2008
4398046511123|1574|2008
4398046511147|546|2005
4398046511136|800|2001
4398046511136|784|2001
4398046511136|808|2003
4398046511136|780|2003
6597069766656|548|2007
6597069766656|551|2005
8796093022215|912|2008
8796093022215|934|2008
8796093022215|924|2007
8796093022215|926|2007
41|545|2005
41|553|2006
41|538|2005
4398046511151|1227|2003
4398046511151|1228|2005
4398046511151|1230|2004
6597069766660|1562|2008
6597069766660|1563|2007
6597069766660|1564|2008
10|443|2008
10|446|2009
10|463|2008
10995116277809|553|2003
4398046511127|1472|2010
4398046511127|1490|2010
4398046511127|1445|2009
4398046511127|1516|2010
4398046511127|1453|2010
4398046511106|999|2008
4398046511106|569|2010
4398046511106|555|2009
8796093022252|1053|2008
8796093022238|1256|2002
8796093022238|1243|2006
8796093022238|1245|2004
2199023255580|1248|2008
2199023255580|1239|2007
8796093022246|805|2004
8796093022246|806|2006
8796093022246|791|2004
8796093022246|793|2005
